term,neg,neu,pos
energy,-0.8788624303334918,-2.111006111626124,-0.07808458558118103
support,-0.31924664239806905,-1.5513903236907012,-0.07808458558118091
renewable,-0.31924664239806905,-1.5513903236907012,-0.07808458558118091
digital,0.37390053816187624,-0.4527780350225915,-1.4643789467010715
satellite,-0.31924664239806905,-0.16509596257081063,-1.4643789467010715
advanced,-0.03156456994628802,-1.2637082512389204,-0.07808458558118103
robotics,0.6615826106136573,-1.2637082512389204,-0.48354969368934536
efficiency,-0.03156456994628802,-1.2637082512389204,-0.07808458558118103
global,1.0670477187218217,-1.2637082512389204,-1.1766968742492907
helps,-0.03156456994628802,-1.2637082512389204,-0.07808458558118103
optimize,-0.03156456994628802,-1.2637082512389204,-0.07808458558118103
cloud,-0.03156456994628802,-1.2637082512389204,-0.07808458558118103
smart,-0.03156456994628802,-1.2637082512389204,-0.07808458558118103
solar,-0.03156456994628802,-1.2637082512389204,-0.07808458558118103
storage,-0.03156456994628802,-1.2637082512389204,-0.07808458558118103
sustainable,0.6615826106136573,-1.2637082512389204,-0.48354969368934536
climate,-0.03156456994628802,-0.16509596257081074,-1.1766968742492907
pollution,0.6615826106136573,-0.5705610706789751,-1.1766968742492907
ocean,0.6615826106136573,-0.5705610706789751,-1.1766968742492907
networks,-0.03156456994628802,-0.16509596257081074,-1.1766968742492907
